,tamanho,ano,garagem,predicted
0,159.0,2003,2,203000.86
1,117.0,1976,2,163310.73
2,166.0,2001,2,229256.64
3,160.0,1915,3,138191.25
4,204.0,2000,3,261770.17
5,127.0,1993,2,173566.95
6,157.0,2004,2,203000.86
7,194.0,1973,2,208823.33
8,165.0,1931,2,169417.56
9,100.0,1939,1,114420.32
10,97.0,1965,1,133672.73
11,216.0,2005,3,325712.16
12,85.0,1962,1,126899.5
13,139.0,2006,3,247824.86
14,116.0,1960,1,137554.4
15,79.0,1929,2,96751.73
16,93.0,1970,2,144497.75
17,120.0,1967,2,147051.61
18,103.0,2004,2,152134.52
19,124.0,1958,1,137835.22
20,221.0,2005,3,327217.1
21,103.0,1930,1,118357.8
22,167.0,2002,2,215155.06
23,98.0,1976,2,149599.81
24,98.0,1968,1,133672.73
25,149.0,2007,3,236512.98
26,84.0,1951,2,120559.03
27,158.0,2007,3,311177.16
28,149.0,1957,1,152405.84
29,48.0,1927,1,74405.44
30,122.0,1920,1,118185.42
31,114.0,1966,1,137610.22
32,115.0,2007,2,186511.52
33,158.0,1959,2,169969.78
34,145.0,2005,2,245126.83
35,228.0,2004,3,327286.25
36,102.0,1994,2,153843.11
37,120.0,1954,2,140910.02
38,98.0,1953,1,129456.86
39,107.0,1955,0,97631.586
40,123.0,1965,2,154739.6
41,123.0,1959,1,138595.69
42,82.0,1983,2,136106.75
43,87.0,1975,1,118788.25
44,107.0,1959,1,137554.4
45,163.0,2005,2,250991.03
46,200.0,2003,2,266654.03
47,154.0,2006,3,250673.4
48,135.0,1920,0,103845.05
49,89.0,1966,1,118630.82
50,137.0,1997,2,192452.4
51,109.0,1934,2,125371.85
52,76.0,1963,2,122350.4
53,171.0,1981,3,315623.62
54,126.0,1955,2,152436.88
55,132.0,1964,2,158768.19
56,162.0,1999,2,214369.52
57,160.0,2004,2,203000.86
58,274.0,2006,3,441723.47
59,72.0,1972,1,108577.484
60,108.0,2004,2,163085.1
61,103.0,1920,1,105881.15
62,127.0,2006,2,199340.44
63,159.0,1921,2,163356.89
64,189.0,1997,2,230377.06
65,230.0,2004,3,338536.25
66,205.0,1970,2,224230.25
67,137.0,2003,2,190138.78
68,69.0,1945,1,80978.54
69,212.0,1953,2,211577.5
70,207.0,1973,2,209617.95
71,79.0,1982,2,127707.336
72,160.0,1998,2,214369.52
73,101.0,1954,2,143619.23
74,149.0,1915,1,128425.5
75,92.0,1973,1,104684.586
76,88.0,1956,1,113975.664
77,119.0,1948,1,110375.8
78,164.0,1968,0,124181.86
79,114.0,1910,2,115387.266
80,199.0,1968,1,224079.64
81,124.0,1998,2,178326.84
82,145.0,2007,3,236512.98
83,99.0,1960,2,153175.5
84,137.0,1995,2,180836.27
85,225.0,1991,2,252737.89
86,145.0,2005,2,245126.83
87,114.0,2009,2,190632.03
88,142.0,1915,0,89790.27
89,92.0,1994,0,128210.76
90,97.0,1950,2,115709.34
91,115.0,1961,2,151380.98
92,90.0,1921,2,114753.9
93,213.0,1910,2,160860.78
94,166.0,1997,2,214369.52
95,137.0,1993,2,180836.27
96,148.0,1999,2,208505.31
97,89.0,1965,1,118630.82
98,78.0,1920,1,86761.32
99,114.0,1959,0,107890.54
100,150.0,1977,2,178023.06
101,161.0,1985,2,204515.2
102,143.0,1979,2,161638.42
103,114.0,2009,3,193846.1
104,169.0,1931,1,170556.27
105,185.0,2003,2,250290.73
106,97.0,1885,1,82771.305
107,73.0,1948,1,102221.45
108,141.0,1919,0,115208.58
109,171.0,1977,2,212045.89
110,172.0,1954,1,170912.42
111,133.0,2000,2,191604.14
112,250.0,2007,3,390270.28
113,210.0,1953,2,221800.02
114,216.0,1945,1,210746.77
115,135.0,1999,2,179267.84
116,101.0,1962,1,133672.73
117,105.0,2006,2,167317.23
118,299.0,1990,3,327207.25
119,135.0,2005,2,192065.06
120,92.0,1969,2,130420.57
121,104.0,1939,1,118357.8
122,100.0,1958,1,129017.56
123,111.0,1993,2,159254.66
124,147.0,1979,2,178956.77
125,70.0,1935,0,81420.54
126,89.0,1976,2,142154.83
127,78.0,1930,0,87892.13
128,125.0,1966,2,158578.47
129,98.0,1958,2,153175.5
130,200.0,1966,2,225900.67
131,191.0,2000,2,230377.06
132,123.0,1959,2,160471.6
133,120.0,2001,2,210962.48
134,160.0,1968,2,174446.81
135,156.0,1970,2,174446.81
136,113.0,1967,1,137610.22
137,182.0,1988,3,199646.52
138,172.0,1999,3,258267.83
139,164.0,1997,2,214369.52
140,80.0,1971,0,95828.07
141,161.0,2005,2,250991.03
142,129.0,1952,2,159762.28
143,139.0,1999,2,197177.89
144,161.0,1963,2,153799.45
145,159.0,2004,2,203000.86
146,81.0,1931,1,106310.58
147,189.0,2001,2,236863.0
148,100.0,2004,0,129400.375
149,125.0,1936,1,123237.97
150,90.0,1975,2,132576.89
151,159.0,2007,3,325931.94
152,185.0,1971,2,198920.64
153,116.0,1960,2,166886.42
154,111.0,1923,1,116067.04
155,102.0,1924,0,96969.7
156,97.0,1950,2,115709.34
157,183.0,2009,3,326337.56
158,181.0,2004,2,218351.7
159,229.0,2005,2,307081.6
160,114.0,1984,2,153467.47
161,248.0,2003,3,415884.25
162,143.0,2005,2,212243.5
163,82.0,1956,0,92298.664
164,150.0,1926,1,151580.77
165,126.0,1940,0,111142.484
166,173.0,1955,1,170912.42
167,201.0,2007,3,346765.4
168,160.0,2004,2,203000.86
169,159.0,1981,2,220209.88
170,128.0,1941,2,147905.47
171,154.0,1960,2,185846.69
172,164.0,1987,2,204515.2
173,127.0,1961,2,158578.47
174,153.0,1986,2,204515.2
175,200.0,1950,2,202589.05
176,191.0,1988,2,226645.19
177,178.0,1958,2,185185.56
178,208.0,2008,3,481750.97
179,90.0,1923,2,114753.9
180,142.0,2000,2,214590.75
181,167.0,1920,1,166511.73
182,124.0,1957,1,137835.22
183,193.0,2003,2,227328.02
184,116.0,1908,2,115387.266
185,335.0,1892,3,475961.1
186,113.0,1990,2,169654.23
187,154.0,1916,1,153946.8
188,114.0,1979,2,146777.97
189,148.0,2001,2,223392.44
190,253.0,1932,2,309953.4
191,137.0,1972,2,169825.48
192,133.0,1999,2,191604.14
193,159.0,2004,2,203000.86
194,80.0,1972,1,110756.17
195,135.0,1976,2,158387.81
196,160.0,2007,3,325931.94
197,289.0,1918,2,231894.12
198,207.0,1912,0,141093.84
199,159.0,2004,3,302722.6
200,104.0,2003,2,152134.52
201,119.0,1977,2,164959.12
202,122.0,1924,1,117108.33
203,79.0,2004,2,145480.4
204,119.0,1947,1,110375.8
205,134.0,1990,2,179988.0
206,158.0,1962,1,146747.05
207,102.0,1960,1,137554.4
208,192.0,1988,2,226645.19
209,101.0,1964,2,147443.5
210,80.0,1925,0,91724.14
211,113.0,2009,2,190632.03
212,172.0,2009,2,253247.7
213,92.0,1995,2,149905.62
214,129.0,1977,1,130035.38
215,115.0,1957,1,132955.06
216,133.0,2004,2,189290.52
217,123.0,1925,1,117108.33
218,182.0,1939,2,158749.69
219,116.0,2005,2,172904.73
220,139.0,2006,2,212525.45
221,211.0,2002,2,256928.27
222,144.0,1975,2,176297.86
223,80.0,1971,2,121202.24
224,222.0,2003,3,373231.03
225,121.0,1971,1,112739.56
226,234.0,1995,3,287920.2
227,92.0,1970,1,104684.586
228,85.0,1967,1,118429.82
229,144.0,2005,2,212243.5
230,111.0,1959,1,137554.4
231,260.0,1995,3,459432.84
232,92.0,1972,1,104684.586
233,83.0,1976,1,131082.6
234,182.0,2002,2,218351.7
235,92.0,1971,1,104684.586
236,131.0,2004,2,182416.28
237,162.0,1993,2,220454.34
238,157.0,2007,3,284026.4
239,138.0,1945,1,140626.56
240,145.0,2008,2,273525.53
241,80.0,1945,0,92528.38
242,134.0,1900,1,91332.51
243,113.0,1980,1,123784.85
244,196.0,1994,2,283428.66
245,174.0,1988,2,205711.55
246,179.0,1910,1,132837.17
247,128.0,1954,2,170090.31
248,155.0,2003,2,203000.86
249,199.0,1958,2,232319.05
250,121.0,1940,0,90823.17
251,151.0,2006,2,238925.1
252,152.0,2004,2,188384.58
253,121.0,1964,1,130963.516
254,122.0,1957,1,133996.34
255,213.0,1999,2,244416.25
256,161.0,2003,2,203000.86
257,149.0,2006,2,247677.17
258,166.0,2001,2,229256.64
259,82.0,1956,1,114473.74
260,128.0,1962,2,158578.47
261,239.0,2007,3,374412.34
262,113.0,1977,2,153537.3
263,122.0,1929,2,126413.14
264,71.0,1925,2,88005.56
265,132.0,1981,2,184587.86
266,140.0,1997,2,197177.89
267,204.0,1939,1,212451.14
268,72.0,1940,1,103556.766
269,103.0,1976,1,130544.17
270,180.0,2006,3,296681.06
271,127.0,1954,2,152436.88
272,211.0,1999,3,290271.25
273,152.0,1958,1,152405.84
274,76.0,1982,1,128987.72
275,144.0,1925,2,187408.06
276,145.0,2003,2,197136.66
277,80.0,1951,2,112389.09
278,197.0,2006,3,352382.78
279,188.0,1977,2,198920.64
280,184.0,1989,2,241813.44
281,117.0,2006,2,181888.56
282,122.0,2007,2,199230.56
283,136.0,2008,3,240527.02
284,146.0,1992,2,203203.58
285,116.0,2006,2,181888.56
286,161.0,1962,2,153799.45
287,80.0,1971,0,95828.07
288,84.0,1967,1,118429.82
289,130.0,1915,1,117044.77
290,178.0,2006,2,249127.19
291,159.0,1912,0,136270.55
292,159.0,1949,1,134803.36
293,210.0,1977,2,232748.39
294,153.0,1953,2,154535.62
295,93.0,1984,2,149529.98
296,145.0,1950,1,140517.97
297,181.0,1997,2,216733.34
298,162.0,1968,2,190096.98
299,107.0,1950,1,124871.64
300,124.0,1953,1,138274.52
301,228.0,1998,2,270376.88
302,143.0,2001,3,209689.97
303,83.0,1972,2,124529.086
304,325.0,1880,3,280745.06
305,186.0,2004,3,309177.06
306,208.0,1990,3,278743.8
307,131.0,1920,0,97626.41
308,80.0,1940,2,100583.734
309,181.0,2003,3,275492.0
310,139.0,1993,2,185561.75
311,90.0,1948,1,113266.25
312,104.0,1939,2,125371.85
313,189.0,1965,2,308607.8
314,152.0,1925,2,179922.92
315,133.0,2004,2,189290.52
316,219.0,1980,2,240948.7
317,182.0,2006,3,268993.5
318,246.0,1993,3,280824.7
319,137.0,1980,2,183537.92
320,241.0,2006,3,362304.78
321,229.0,2004,3,338536.25
322,254.0,1986,2,299007.5
323,108.0,1955,1,132955.06
324,277.0,1967,2,327212.28
325,75.0,1941,2,97829.92
326,160.0,1993,2,220454.34
327,128.0,1960,1,142434.56
328,198.0,1916,2,179270.75
329,111.0,1920,1,105881.15
330,161.0,1964,1,136308.72
331,98.0,1958,1,129017.56
332,151.0,2003,3,254518.22
333,126.0,2004,2,192780.69
334,152.0,1998,2,199753.23
335,166.0,1965,2,190271.05
336,179.0,2005,3,314502.03
337,143.0,2002,2,200231.83
338,151.0,1984,2,203240.0
339,113.0,1958,1,132955.06
340,177.0,2002,2,211882.48
341,78.0,1950,1,96169.75
342,97.0,1949,2,115709.34
343,156.0,2005,2,250991.03
344,103.0,1976,1,130544.17
345,147.0,1939,1,153871.52
346,89.0,1960,1,118575.0
347,137.0,1960,2,165348.45
348,151.0,2003,2,188384.58
349,253.0,2005,3,428705.94
350,174.0,2007,2,249127.19
351,135.0,1986,2,167651.7
352,103.0,1941,1,118357.8
353,67.0,1928,2,85331.56
354,148.0,1940,1,153871.52
355,111.0,1995,2,159254.66
356,108.0,1992,2,166851.39
357,106.0,1976,2,153537.3
358,126.0,1958,1,137835.22
359,179.0,1998,2,216733.34
360,85.0,1978,2,145901.75
361,140.0,1940,1,149016.98
362,179.0,2003,2,218351.7
363,92.0,1972,1,104684.586
364,146.0,1976,2,178023.06
365,125.0,1920,1,114180.42
366,130.0,1963,2,153598.95
367,133.0,1962,1,152329.03
368,118.0,1954,1,132955.06
369,120.0,1959,2,152783.61
370,155.0,2000,2,214369.52
371,148.0,1959,2,171799.14
372,70.0,1984,1,128834.08
373,123.0,1953,1,134435.64
374,179.0,2003,2,218351.7
375,84.0,1922,0,73195.984
376,85.0,1996,2,151569.7
377,229.0,2004,2,298970.94
378,172.0,2010,3,387248.12
379,167.0,2000,2,214369.52
380,157.0,1924,1,156563.75
381,121.0,2006,2,176196.56
382,167.0,2006,2,240882.31
383,73.0,1928,2,88005.56
384,181.0,1992,2,228119.9
385,118.0,2004,2,178278.14
386,110.0,1910,0,80804.53
387,105.0,1976,1,130544.17
